"","year(Date)","states","peak","region"
"180",2006,"Montana",1714,"montana"
"181",2006,"Nebraska",1807,"nebraska"
"182",2006,"Nevada",5248,"nevada"
"183",2006,"New.Hampshire",1658,"new hampshire"
"184",2006,"New.Jersey",2262,"new jersey"
"185",2006,"New.Mexico",7008,"new mexico"
"186",2006,"New.York",2252,"new york"
"187",2006,"North.Carolina",4006,"north carolina"
"188",2006,"North.Dakota",882,"north dakota"
"189",2006,"Ohio",2636,"ohio"
"190",2006,"Oklahoma",6408,"oklahoma"
"191",2006,"Oregon",2793,"oregon"
"192",2006,"Pennsylvania",3230,"pennsylvania"
"193",2006,"Rhode.Island",1495,"rhode island"
"194",2006,"South.Carolina",2929,"south carolina"
"195",2006,"South.Dakota",1283,"south dakota"
"196",2006,"Tennessee",3474,"tennessee"
"197",2006,"Texas",4382,"texas"
"198",2006,"Utah",2804,"utah"
"199",2006,"Vermont",1409,"vermont"
"200",2006,"Virginia",4242,"virginia"
"201",2006,"Washington",2729,"washington"
"202",2006,"West.Virginia",3315,"west virginia"
"203",2006,"Wisconsin",2435,"wisconsin"
"204",2006,"Wyoming",-Inf,"wyoming"
"205",2007,"Alabama",2915,"alabama"
"206",2007,"Alaska",4366,"alaska"
"207",2007,"Arizona",2881,"arizona"
"208",2007,"Arkansas",10011,"arkansas"
"209",2007,"California",3524,"california"
"210",2007,"Colorado",1406,"colorado"
"211",2007,"Connecticut",1499,"connecticut"
"212",2007,"Delaware",2679,"delaware"
"213",2007,"District.of.Columbia",2573,"district of columbia"
"214",2007,"Florida",1524,"florida"
"215",2007,"Georgia",2760,"georgia"
"216",2007,"Hawaii",2453,"hawaii"
"217",2007,"Idaho",4385,"idaho"
"218",2007,"Illinois",2311,"illinois"
"219",2007,"Indiana",2416,"indiana"
"220",2007,"Iowa",2781,"iowa"
"221",2007,"Kansas",1931,"kansas"
"222",2007,"Kentucky",3084,"kentucky"
"223",2007,"Louisiana",4330,"louisiana"
"224",2007,"Maine",1545,"maine"
"225",2007,"Maryland",2850,"maryland"
"226",2007,"Massachusetts",1263,"massachusetts"
"227",2007,"Michigan",2399,"michigan"
"228",2007,"Minnesota",5982,"minnesota"
"229",2007,"Mississippi",3576,"mississippi"
"230",2007,"Missouri",1464,"missouri"
"231",2007,"Montana",2370,"montana"
"232",2007,"Nebraska",3486,"nebraska"
"233",2007,"Nevada",2725,"nevada"
"234",2007,"New.Hampshire",1589,"new hampshire"
"235",2007,"New.Jersey",2539,"new jersey"
"236",2007,"New.Mexico",3352,"new mexico"
"237",2007,"New.York",2368,"new york"
"238",2007,"North.Carolina",3666,"north carolina"
"239",2007,"North.Dakota",4593,"north dakota"
"240",2007,"Ohio",2314,"ohio"
"241",2007,"Oklahoma",8534,"oklahoma"
"242",2007,"Oregon",4410,"oregon"
"243",2007,"Pennsylvania",2820,"pennsylvania"
"244",2007,"Rhode.Island",1251,"rhode island"
"245",2007,"South.Carolina",2977,"south carolina"
"246",2007,"South.Dakota",5270,"south dakota"
"247",2007,"Tennessee",3563,"tennessee"
"248",2007,"Texas",6565,"texas"
"249",2007,"Utah",1356,"utah"
"250",2007,"Vermont",1460,"vermont"
"251",2007,"Virginia",3234,"virginia"
"252",2007,"Washington",5845,"washington"
"253",2007,"West.Virginia",3216,"west virginia"
"254",2007,"Wisconsin",3297,"wisconsin"
"255",2007,"Wyoming",623,"wyoming"
"256",2008,"Alabama",10185,"alabama"
"257",2008,"Alaska",3079,"alaska"
"258",2008,"Arizona",7398,"arizona"
"259",2008,"Arkansas",14700,"arkansas"
"260",2008,"California",5426,"california"
"261",2008,"Colorado",3774,"colorado"
"262",2008,"Connecticut",3829,"connecticut"
"263",2008,"Delaware",5593,"delaware"
"264",2008,"District.of.Columbia",5125,"district of columbia"
"265",2008,"Florida",3161,"florida"
"266",2008,"Georgia",6944,"georgia"
"267",2008,"Hawaii",3417,"hawaii"
"268",2008,"Idaho",6051,"idaho"
"269",2008,"Illinois",5161,"illinois"
"270",2008,"Indiana",7046,"indiana"
"271",2008,"Iowa",4527,"iowa"
"272",2008,"Kansas",5324,"kansas"
"273",2008,"Kentucky",7970,"kentucky"
"274",2008,"Louisiana",11329,"louisiana"
"275",2008,"Maine",5225,"maine"
"276",2008,"Maryland",6292,"maryland"
"277",2008,"Massachusetts",4517,"massachusetts"
"278",2008,"Michigan",4624,"michigan"
"279",2008,"Minnesota",6909,"minnesota"
"280",2008,"Mississippi",11343,"mississippi"
"281",2008,"Missouri",4319,"missouri"
"282",2008,"Montana",3328,"montana"
"283",2008,"Nebraska",6729,"nebraska"
"284",2008,"Nevada",6161,"nevada"
"285",2008,"New.Hampshire",4815,"new hampshire"
"286",2008,"New.Jersey",5924,"new jersey"
"287",2008,"New.Mexico",7520,"new mexico"
"288",2008,"New.York",5628,"new york"
"289",2008,"North.Carolina",9441,"north carolina"
"290",2008,"North.Dakota",7651,"north dakota"
"291",2008,"Ohio",4870,"ohio"
"292",2008,"Oklahoma",14807,"oklahoma"
"293",2008,"Oregon",5662,"oregon"
"294",2008,"Pennsylvania",5887,"pennsylvania"
"295",2008,"Rhode.Island",5201,"rhode island"
"296",2008,"South.Carolina",8604,"south carolina"
"297",2008,"South.Dakota",7080,"south dakota"
"298",2008,"Tennessee",9413,"tennessee"
"299",2008,"Texas",9758,"texas"
"300",2008,"Utah",3603,"utah"
"301",2008,"Vermont",3414,"vermont"
"302",2008,"Virginia",6116,"virginia"
"303",2008,"Washington",5395,"washington"
"304",2008,"West.Virginia",7673,"west virginia"
"305",2008,"Wisconsin",6887,"wisconsin"
"306",2008,"Wyoming",3106,"wyoming"
"307",2009,"Alabama",7783,"alabama"
"308",2009,"Alaska",6363,"alaska"
"309",2009,"Arizona",13183,"arizona"
