pop,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,alias,lowstart,lowend
17134873,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,Netherlands,6,8
5421242,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,Norway,6,8
29136808,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,Nepal,7,9
4822233,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,New Zealand,12,2
5106622,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,Oman,7,9
1932774,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,Kosovo,6,8
7794798729,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,World,7,9
220892331,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,Pakistan,7,9
4314768,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,78.51,Panama,7,9
32971846,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,Peru,7,9
109581085,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,Philippines,7,9
8947027,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,PNG,7,9
37846605,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,Poland,6,8
2860840,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,Puerto Rico,7,9
10196707,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,Portugal,6,8
7132530,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,Paraguay,7,9
5101416,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,Palestine,7,9
280904,NA,NA,NA,22.63,NA,NA,NA,NA,77.66,Fr. Polynesia,7,9
2881060,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,Qatar,7,9
19237682,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,Romania,6,8
145934460,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,Russia,6,8
12952209,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,Rwanda,7,9
